date,Apple,Amazon,Google,Microsoft,Tesla,"('date', '')",positive_sentiment,negative_sentiment,total_sentiment
7/2/2015,31.61000061,437.7099915,523.4000244,44.40000153,56.00400162,7/2/2015,0.095714286,0.048142857,0.048421429
7/6/2015,31.5,436.0400085,522.8599854,44.38999939,55.94400024,7/6/2015,0.07075,0.055666667,0.051833333
7/7/2015,31.42250061,436.7200012,525.0200195,44.29999924,53.57600021,7/7/2015,0.185272727,0.071636364,0.177981818
7/8/2015,30.64249992,429.7000122,516.8300171,44.24000168,50.99200058,7/8/2015,0.057,0.103181818,-0.051677273
7/9/2015,30.01749992,434.3900146,520.6799927,44.52000046,51.58399963,7/9/2015,0.0983,0.05665,0.103205
7/10/2015,30.81999969,443.5100098,530.1300049,44.61000061,51.83000183,7/10/2015,0.120541667,0.086333333,0.1090625
7/13/2015,31.41500092,455.5700073,546.5499878,45.54000092,52.43199921,7/13/2015,0.125863636,0.037090909,0.120277273
7/14/2015,31.40250015,465.5700073,561.0999756,45.61999893,53.13000107,7/14/2015,0.008466258,0.003809816,0.005690184
7/15/2015,31.70499992,461.1900024,560.2199707,45.75999832,52.62799835,7/15/2015,0.024704545,0.006806818,0.021959091
7/16/2015,32.12749863,475.480011,579.8499756,46.65999985,53.33599854,7/16/2015,0.024347826,0,0.020145652
7/17/2015,32.40499878,483.0100098,672.9299927,46.61999893,54.93199921,7/17/2015,0.015926667,0.009866667,0.003983333
7/20/2015,33.01750183,488.1000061,663.0200195,46.91999817,56.45199966,7/20/2015,0.092853659,0.040121951,0.086565854
7/21/2015,32.6875,488,662.2999878,47.27999878,53.35400009,7/21/2015,0.126629032,0.03883871,0.121595161
7/22/2015,31.30500031,488.269989,662.0999756,45.54000092,53.57400131,7/22/2015,0.134,0.065568627,0.0916
7/23/2015,31.29000092,482.1799927,644.2800293,46.11000061,53.43999863,7/23/2015,0.112333333,0.08,0.023924242
7/24/2015,31.125,529.4199829,623.5599976,45.93999863,53.08200073,7/24/2015,0.1391,0.0752,0.107093333
7/27/2015,30.69249916,531.4099731,627.2600098,45.34999847,50.60200119,7/27/2015,0.103294118,0.102117647,-0.007858824
7/28/2015,30.84499931,526.0300293,628,45.34000015,52.9640007,7/28/2015,0.113958333,0.072208333,0.065508333
7/29/2015,30.74749947,529,631.9299927,46.29000092,52.76399994,7/29/2015,0.12747619,0.051904762,0.052728571
7/30/2015,30.59250069,536.7600098,632.5900269,46.88000107,53.35800171,7/30/2015,0.146833333,0.0875,0.021645833
7/31/2015,30.32500076,536.1500244,625.6099854,46.70000076,53.22999954,7/31/2015,0.11415,0.0582,0.1004075
8/3/2015,29.61000061,535.0300293,631.210022,46.81000137,51.9980011,8/3/2015,0.108392857,0.034107143,0.137110714
8/4/2015,28.65999985,531.9000244,629.25,47.54000092,53.25600052,8/4/2015,0.072709091,0.0624,0.017869091
8/5/2015,28.85000038,537.0100098,643.7800293,47.58000183,54.02600098,8/5/2015,0.080909091,0.033886364,0.06875
8/6/2015,28.78249931,529.460022,642.6799927,46.61999893,49.22600174,8/6/2015,0.038408163,0.041367347,-0.001185714
8/7/2015,28.87999916,522.6199951,635.2999878,46.74000168,48.5019989,8/7/2015,0.095090909,0.048045455,0.0796
8/10/2015,29.93000031,524,633.7299805,47.33000183,48.22800064,8/10/2015,0.067485714,0.021371429,0.062694286
8/11/2015,28.37249947,527.460022,660.7800293,46.40999985,47.47399902,8/11/2015,0.030210526,0.030342105,-0.020565789
8/12/2015,28.80999947,525.9099731,659.5599976,46.74000168,47.63399887,8/12/2015,0.088071429,0.098928571,0.011328571
8/13/2015,28.78750038,529.6599731,656.4500122,46.72999954,48.5019989,8/13/2015,0.17125,0.0560625,0.13201875
8/14/2015,28.98999977,531.5200195,657.1199951,47,48.63000107,8/14/2015,0.1295,0.1381,-0.03363
8/17/2015,29.29000092,535.2199707,660.8699951,47.31999969,50.9980011,8/17/2015,0.0753,0.122933333,-0.076003333
8/18/2015,29.125,535.0200195,656.1300049,47.27000046,52.14400101,8/18/2015,0.112789474,0.097789474,0.015705263
8/19/2015,28.75250053,532.9199829,660.9000244,46.61000061,51.04999924,8/19/2015,0.100666667,0.107733333,-0.05968
8/20/2015,28.16250038,515.7800293,646.8300171,45.65999985,48.43600082,8/20/2015,0.063952381,0.103904762,-0.054180952
8/21/2015,26.44000053,494.4700012,612.4799805,43.06999969,46.15399933,8/21/2015,0.042571429,0.073785714,-0.035121429
8/24/2015,25.78000069,463.3699951,589.6099854,41.68000031,43.77399826,8/24/2015,0.079380952,0.065761905,-0.024233333
8/25/2015,25.93499947,466.3699951,582.0599976,40.47000122,44.00600052,8/25/2015,0.08815,0.0624,0.05088
8/26/2015,27.42250061,500.769989,628.6199951,42.70999908,44.9679985,8/26/2015,0.105071429,0.079785714,0.012128571
8/27/2015,28.22999954,518.3699951,637.6099854,43.90000153,48.59799957,8/27/2015,0.1548125,0.065375,0.12843125
8/28/2015,28.32250023,518.0100098,630.3800049,43.93000031,49.69599915,8/28/2015,0.0835,0.0859375,0.04419375
8/31/2015,28.19000053,512.8900146,618.25,43.52000046,49.81200027,8/31/2015,0.193058824,0.093764706,0.110264706
9/1/2015,26.93000031,496.5400085,597.789978,41.81999969,47.72600174,9/1/2015,0.061384615,0.145076923,-0.211569231
9/2/2015,28.08499908,510.5499878,614.3400269,43.36000061,49.5379982,9/2/2015,0.062285714,0.063,-0.0295
9/3/2015,27.59250069,504.7200012,606.25,43.5,49.11399841,9/3/2015,0.160222222,0.043611111,0.199727778
9/4/2015,27.31749916,499,600.7000122,42.61000061,48.38600159,9/4/2015,0.085529412,0.077,-0.006976471
9/8/2015,28.07749939,517.539978,614.6599731,43.88999939,49.63399887,9/8/2015,0.073916667,0.051916667,0.046375
9/9/2015,27.53750038,516.8900146,612.7199707,43.06999969,49.7820015,9/9/2015,0.134583333,0.03825,0.1465875
9/10/2015,28.14249992,522.2399902,621.3499756,43.29000092,49.69599915,9/10/2015,0.1192,0.064,0.07021
9/11/2015,28.55249977,529.4400024,625.7700195,43.47999954,50.04800034,9/11/2015,0.0924,0.05332,0.044052
9/14/2015,28.82749939,521.3800049,623.2399902,43.04000092,50.63800049,9/14/2015,0.080454545,0.085727273,-0.000727273
9/15/2015,29.06999969,522.3699951,635.1400146,43.97999954,50.7140007,9/15/2015,0.180388889,0.071222222,0.186288889
9/16/2015,29.10250092,527.3900146,635.9799805,44.29999924,52.45000076,9/16/2015,0.119777778,0.050111111,0.081366667
9/17/2015,28.47999954,538.8699951,642.9000244,44.25,52.41400146,9/17/2015,0.167769231,0.048153846,0.172261538
9/18/2015,28.36249924,540.2600098,629.25,43.47999954,52.12400055,9/18/2015,0.051086957,0.058173913,-0.008278261
9/21/2015,28.80249977,548.3900146,635.4400024,44.11000061,52.84000015,9/21/2015,0.131818182,0.109181818,0.003618182
9/22/2015,28.35000038,538.4000244,622.6900024,43.90000153,52.18799973,9/22/2015,0.132,0.1124,-0.001693333
9/23/2015,28.57999992,536.0700073,622.3599854,43.86999893,52.2120018,9/23/2015,0.1189,0.1062,0.0239
9/24/2015,28.75,533.75,625.7999878,43.90999985,52.62400055,9/24/2015,0.076307692,0.05,-0.0186
9/25/2015,28.67749977,524.25,611.9699707,43.93999863,51.38199997,9/25/2015,0.102631579,0.014,0.110973684
9/28/2015,28.11000061,504.0599976,594.8900146,43.29000092,49.68600082,9/28/2015,0.192619048,0.041333333,0.218838095
9/29/2015,27.26499939,496.0700073,594.9699707,43.43999863,49.33000183,9/29/2015,0.1336,0.1092,0.06908
9/30/2015,27.57500076,511.8900146,608.4199829,44.25999832,49.68000031,9/30/2015,0.06947619,0.026809524,0.037366667
10/1/2015,27.39500046,520.7199707,611.289978,44.61000061,47.97600174,10/1/2015,0.09916,0.0944,0.011496
10/2/2015,27.59499931,532.539978,626.9099731,45.56999969,49.51399994,10/2/2015,0.131947368,0.076526316,0.073878947
10/5/2015,27.69499969,543.6799927,641.4699707,46.63000107,49.22999954,10/5/2015,0.085,0.0692,0.04585
10/6/2015,27.82749939,537.4799805,645.4400024,46.75,48.29199982,10/6/2015,0.055071429,0.085642857,-0.044917857
10/7/2015,27.69499969,541.9400024,642.3599854,46.79999924,46.39199829,10/7/2015,0.082631579,0.106526316,-0.037273684
10/8/2015,27.375,533.1599731,639.1599731,47.45000076,45.34400177,10/8/2015,0.070821429,0.065321429,0.018503571
10/9/2015,28.03000069,539.7999878,643.6099854,47.11000061,44.13800049,10/9/2015,0.085173913,0.039826087,0.057391304
10/12/2015,27.89999962,550.1900024,646.6699829,47,43.11600113,10/12/2015,0.117368421,0.092368421,0.028542105
10/13/2015,27.94750023,548.9000244,652.2999878,46.88999939,43.84999847,10/13/2015,0.165095238,0.04952381,0.141033333
10/14/2015,27.55249977,544.8300171,651.1599731,46.68000031,43.37599945,10/14/2015,0.0787,0.1279,-0.02598
10/15/2015,27.96500015,562.4400024,661.7399902,47.00999832,44.26200104,10/15/2015,0.1255,0.008357143,0.174164286
10/16/2015,27.76000023,570.7600098,662.2000122,47.50999832,45.40200043,10/16/2015,0.11336,0.04572,0.174248
10/19/2015,27.93250084,573.1500244,666.0999756,47.61999893,45.61999893,10/19/2015,0.074708333,0.036791667,0.0497375
10/20/2015,28.44249916,560.8800049,650.2800293,47.77000046,42.60599899,10/20/2015,0.06124,0.11684,-0.038356
10/21/2015,28.44000053,555.7700195,642.6099854,47.20000076,42.01800156,10/21/2015,0.104954545,0.057136364,0.096045455
10/22/2015,28.875,563.9099731,651.789978,48.02999878,42.34400177,10/22/2015,0.11937037,0.058148148,0.1234
10/23/2015,29.77000046,599.0300293,702,52.86999893,41.81800079,10/23/2015,0.114555556,0.028555556,0.105355556
10/26/2015,28.81999969,608.6099854,712.7800293,54.25,43.05199814,10/26/2015,0.067771429,0.037828571,0.039725714
10/27/2015,28.63750076,611.0100098,708.4899902,53.68999863,42.06999969,10/27/2015,0.066642857,0.049714286,0.042083929
10/28/2015,29.81749916,617.0999756,712.9500122,53.97999954,42.59199905,10/28/2015,0.078208333,0.119166667,-0.058445833
10/29/2015,30.13249969,626.5499878,716.9199829,53.36000061,42.32600021,10/29/2015,0.220210526,0.103368421,0.074515789
10/30/2015,29.875,625.9000244,710.8099976,52.63999939,41.38600159,10/30/2015,0.113076923,0.019384615,0.1414
11/2/2015,30.29500008,628.3499756,721.1099854,53.24000168,42.75799942,11/2/2015,0.085464286,0.064428571,0.0176
11/3/2015,30.64249992,625.3099976,722.1599731,54.15000153,41.66999817,11/3/2015,0.139666667,0.042904762,0.143219048
